,uuid,labels
0,504c79b1-51ec-4c58-9768-9a2b92210152.png,1
1,3951745e-90ca-4399-b53b-c754242bccbc.png,0
2,b0453cc5-167b-4115-933b-34df63aac4b2.png,1
3,fa4d80d3-15bc-4dde-9fcc-29ae4358fcb8.png,3
4,7a621239-d926-4e3a-8e47-f83f410f80c3.png,0
5,b7f3e616-fb6f-4e4e-805d-69ba440ff6e0.png,1
6,a9a48424-b569-433a-941b-45c9f6bdfac1.png,2
7,f4962193-7242-4726-a0ee-5033bf68d7de.png,2
8,d061a759-36fd-41eb-aacc-ccc38dd8f486.png,2
9,aca46c88-2609-47ec-9e98-291b694b71e4.png,2
10,4ef6b8f9-4bb2-483f-a972-0e31735cb612.png,0
11,ad5d48a2-146b-435a-a8cb-2b7f43f3bd51.png,3
12,0eec2654-988d-4e3f-bc7f-0d7e58c997ab.png,1
13,0e0e7106-fda8-4ff2-99ce-faa623fc4b33.png,0
14,c43fa5a6-5104-41cf-9085-a58504cb8bd4.png,3
15,28fe578b-141b-455b-8575-da26aae7ecc9.png,1
16,1753016c-774a-427b-9692-5676e99d9803.png,2
17,03b48a92-8ca0-472c-8456-344a0f6980cd.png,3
18,89ff7d90-35d2-4c37-8572-763882f473b9.png,2
19,2d1d3145-b2a5-4c30-83df-50070e120cc9.png,3
20,2b418f41-01ed-445a-8c7d-eb0cada074e1.png,3
21,f6d2b0da-9070-484c-8e0a-94ef65a4e103.png,2
22,7043713d-7bea-4d8a-a4d9-a6ed5f8978c2.png,0
23,ab073d24-901c-4524-805d-870b643fa86b.png,1
24,0f2a8227-f1dc-428a-a9f1-ec8b6db834b9.png,3
25,a67faa69-a14e-4327-9ebf-0c322e292455.png,2
26,1de2dcb7-78af-4fdb-a82d-50462a01c2b6.png,1
27,a745128f-d74b-4c66-8c57-b6a43c67539a.png,1
28,12d4ba49-2bf6-40e6-9b6b-fd3a1f87d5a3.png,0
29,35bd68b0-2ad1-4706-9065-bfd586ae64b3.png,3
30,92b6f009-05cd-4545-be0b-910b802eef10.png,1
31,fa7d5bc0-23f9-4026-b940-c278fc697bfd.png,0
32,a8a8c6af-dc87-4c1a-9696-f6a967a45136.png,2
33,f4db7302-15e4-4a75-96ec-b8d49b5574fb.png,0
34,4d0e1128-34c3-485a-a205-ea128a11e344.png,1
35,5430968e-17f7-4762-aaf7-1b6d7c8bb192.png,0
36,c578dabb-f612-49b0-835b-ea606c46bb1e.png,0
37,b66c6967-2da0-4ab1-a51f-993be95cedc3.png,3
38,b4829d1c-ca02-4895-87c4-64b7930041c9.png,2
39,afbe8f09-450c-4349-8d83-cec672c327d0.png,3
40,612bfc5e-a1fe-460b-8d50-db7d4f235145.png,1
41,c9feddaf-8426-422c-958b-3a009aef434e.png,2
42,4702091b-4b61-4fcc-8153-f38a46a3385d.png,0
43,516ebfa7-7d3b-4d8b-881f-e52d234e381d.png,2
44,37addafd-aac1-41a7-9cee-d9bc5210b682.png,3
45,5fc04585-54a5-4599-900a-cc34ac9ff29d.png,1
46,cc694362-0eb4-43ed-a12a-231e2bced7f4.png,3
47,0624f832-49a8-49f1-a97b-8853b0649d76.png,1
48,64167556-f748-44e7-86ec-92410decfd30.png,3
49,afd25810-113d-4e83-8b39-0cdd0653f880.png,1
50,009618bd-529f-4ea8-aa42-37440bd76482.png,1
51,fe781181-bf3b-4e53-94d3-e4b09a636350.png,0
52,6e777a8e-10e3-4a2a-b011-788fc48eccdb.png,2
53,67f84035-d3db-4f79-8055-a7a027c1b42e.png,3
54,73f1290e-da5e-4e51-95c2-ba1d8ea83ac7.png,2
55,112345d2-9570-4a1b-b02a-14601e4f2069.png,3
56,03813b62-883c-47dc-ac6b-3a373a932fbd.png,3
57,d24797f7-ccc1-41af-a4cb-fec56ec32fad.png,1
58,75bab8c4-e43e-4bc8-8dae-a625a2c21406.png,0
59,4c188ac6-89be-4bdc-8da6-e40399d8da52.png,3
60,0b194ff9-7cdf-443a-8271-1d509ce876f7.png,1
61,1a203778-1f5f-4c6e-96b8-580c4dac0fd6.png,1
62,607f8a8a-2f21-41d4-ac84-a58bf92fceb8.png,3
63,3d4ceb4e-7e82-4fa2-afd2-1567dbddb58e.png,3
64,89a24a1b-58c6-405f-9384-f7b75ec2bfe0.png,1
65,5c9c8a63-3996-4d6c-ac81-e516cc62bec9.png,1
66,5f1bbf0f-eaaa-442e-ab42-a92574b65b1a.png,2
67,81d49fc6-9c6a-4799-8d0f-c6406432d3c7.png,0
68,50367db8-8fe4-4c73-9ac2-94a51dc7213f.png,0
69,4f878b0e-2c00-4b47-ad68-bab64d5dd8d0.png,2
70,1eb4c6f0-94b8-4533-8f0c-337f8a281287.png,1
71,9ff775a6-c8d1-4236-bdda-445edd6df9b3.png,1
72,39f28ca2-a095-42d6-8e8c-f899a39a6364.png,0
73,bcc637eb-ed44-41dc-a8a2-aa77aadc134f.png,1
74,e2fede6f-ca1d-4fce-b3ac-f9e306f5ed17.png,3
75,ecefc5f6-8ed3-48b8-ad77-80291cc9208f.png,3
76,541e3aa4-c853-494a-a85a-c15eb93a090c.png,1
77,f89d92cd-a1ed-4d85-a456-c56823d6e864.png,2
78,14483f18-160e-418b-85a1-fd4f65797b4a.png,1
79,fc5ebb3b-5590-4c99-bb4a-61c0642f9b78.png,2
80,705b17ad-800e-4b13-99e6-d2a03091bbf4.png,3
81,6dfd58e6-8284-4158-b170-5c2e0caf9bdc.png,0
82,6288c7de-880b-4f74-b9ce-31867efb950f.png,1
83,a8651ba7-907e-4fd1-868a-83180921bc01.png,2
84,24576584-17b7-4c97-86dd-71aca2576ea5.png,2
85,ed6ed56a-a6c8-410f-9681-4cbec3f08a30.png,3
86,167a72e3-cd95-4a96-a6bd-841835baebbc.png,0
87,19bb6f7a-7cd3-432b-a582-8f7dea4e6103.png,2
88,2149f7c6-d92c-4199-b795-178a64c8033b.png,0
89,9141064a-1cf4-4489-9636-68bb4dcecb0e.png,2
90,7a04e2f1-ab0a-4c0f-a8d8-d88f2f39c18d.png,2
91,29417003-0f2e-438e-bda7-4c3511d98c98.png,3
92,4a4ae4f3-cab7-4fcd-9c96-e921204a84e7.png,2
93,9414b45d-466a-4134-977d-cd6ab391db88.png,0
94,d28daaf1-36a8-4825-b45c-84c2913dc780.png,2
95,687d37a3-2a5e-4c71-b8f8-28143f4321ed.png,3
96,fc137f67-4ea3-4e29-91e3-ad7d4d26d8c1.png,0
97,b18b161c-eb20-427b-b5a7-850b171e805a.png,2
98,97dd802a-93ac-423a-98d5-7c97d11c364f.png,1
99,695b2128-dbd2-4260-987b-040b62679758.png,2
100,8ed47d23-c6ca-4729-a2c2-ea4575f05965.png,1
101,87af0d3a-3ac2-46d0-9213-fb9f1e438300.png,1
102,b4435054-a3a3-48a5-9b37-affef838b775.png,0
103,f4607909-7372-4114-9af6-032b5d7f0c64.png,0
104,2ea0c7d6-0f3e-4e87-9626-644286b517a5.png,0
105,a7144f45-213c-4a47-a86b-23b2cc3d4032.png,2
106,53beceaf-c952-4749-98ec-7ca54cfe4fb8.png,1
107,f96e6fe7-5b42-42af-a3c2-28f38c4669c3.png,1
108,bff19036-9482-447e-b90e-4d0397e90f7a.png,1
109,c7d5f5d7-3d0b-4ead-a8b6-1c923134d66a.png,1
110,69dc8484-c573-42bf-a49e-6c5102288a17.png,1
111,5508b20f-233b-468c-8cac-4e2e36f874a4.png,0
112,cf0f080c-646d-4da3-a92e-3fa3841c21df.png,0
113,3107bf4b-b663-45d5-a6a2-7aa1bafd2413.png,0
114,11b349ef-f9f0-4a28-b41b-142266fe2c5b.png,1
115,c4f7416c-21d6-4342-a905-39b6faa2c925.png,2
116,0763c06d-f9c7-4066-b6a4-3d66e2ac7fba.png,0
117,db4f5667-b10b-407c-be61-35e9886c542e.png,1
118,017d3c73-aa2a-4c35-9449-06c708200ead.png,1
119,44eb8e38-7809-4251-9835-fda6e2773084.png,2
120,90ad00d0-8503-4071-a6c9-0cfce5101137.png,2
121,57a34e99-0fa5-40c6-ab1e-acc6a5c7875b.png,2
122,d83981eb-023a-4e2b-93e3-6957566fad98.png,3
123,966590d5-f3c1-4fce-9f1d-57902394bdc9.png,3
124,319e7234-657d-4f2a-ac38-a865b49a61bc.png,2
125,431add80-6322-43dc-9bd4-44e18843cd00.png,3
126,4e560e23-126e-4719-922b-a9fbf7b596b4.png,1
127,13baa936-167d-4d9b-a561-f857254197ed.png,1
128,ade40e58-564a-41e4-93ca-bca471181fb3.png,3
129,38a624ce-9fe5-468b-a734-2e07cc062a1e.png,2
130,86052545-da3d-47b1-b22f-4d9f0c0405e2.png,3
131,3066d198-d87d-4ecb-a549-2942ee15a246.png,1
132,51c3fcdf-f72e-4158-a414-60c1f98f8f63.png,0
133,0d913a3b-0cb4-4b23-8940-f58fc7c9d4d1.png,1
134,7d408823-91ca-48ff-a05e-3c44fdf4270b.png,0
135,1cda525f-33b4-4bc9-9c62-e307597c063e.png,1
136,e63dc869-b1c1-4906-ae4d-a0444f174533.png,2
137,a77aef7a-a208-4c6d-9df4-20e19906406a.png,3
138,ee4658cb-b81e-4b85-b8c7-c009566007ea.png,0
139,2f92e2dd-33d7-49f6-b1b1-ac9fb7cb2144.png,3
140,5d7fee75-c931-4ea3-bbef-08d72ee6a5c8.png,3
141,50469d2c-9b3b-447e-972b-497f535d58ca.png,0
142,36b17e77-ada7-4812-bc83-b7aeee623734.png,3
143,6f9ab753-78b4-4e4f-9741-eea96da680bc.png,1
144,02f3905b-ec5f-4fdb-9b93-4498cd3c4df2.png,1
145,e497af25-21b2-4ecf-b9fe-ff5787e8dc4d.png,1
146,a6065f82-640f-4822-9c1e-0c7d63c67e6d.png,1
147,7d6edf05-7083-45f4-b2ab-c879e36ef1f1.png,2
148,283fd94c-a5ad-44ab-a822-72dec47658af.png,3
149,ae7875d4-32d5-4257-baf8-2f32c46b335f.png,3
150,7bdda7fe-2498-42a7-a28a-89d681e9dac3.png,2
